"1518468380-156","http://www.supremenewyork.com/previews/springsummer2018/all/","sweatshirts","http://www.supremenewyork.com/previews/springsummer2018/all/sweatshirts","","http://www.supremenewyork.com/previews/springsummer2018/sweatshirts/channel-hooded-sweatshirt","//d17ol771963kd3.cloudfront.net/143356/zo/VchlYNI1TKo1.jpg","Channel Hooded Sweatshirt","Cotton fleece"
"1518468457-192","http://www.supremenewyork.com/previews/springsummer2018/all/","tops/sweaters","http://www.supremenewyork.com/previews/springsummer2018/all/tops_sweaters","","http://www.supremenewyork.com/previews/springsummer2018/tops-sweaters/velour-warm-up","//d17ol771963kd3.cloudfront.net/143974/zo/AOynsr3TDcE1.jpg","Velour Warm Up","Cotton blend velour"
"1518468694-304","http://www.supremenewyork.com/previews/springsummer2018/all/","jackets","http://www.supremenewyork.com/previews/springsummer2018/all/jackets","","http://www.supremenewyork.com/previews/springsummer2018/jackets/world-famous-taped-seam-hooded-pullover-3","//d17ol771963kd3.cloudfront.net/142753/zo/PYVYdvRvBMM1.jpg","World Famous Taped Seam Hooded Pullover","Waterproof breathable 3-layer lightweight nylon with printed pattern, tricot backing and taped seams. Half-zip front with side zip and packable construction."
"1518468278-110","http://www.supremenewyork.com/previews/springsummer2018/all/","t-shirts","http://www.supremenewyork.com/previews/springsummer2018/all/t-shirts","","http://www.supremenewyork.com/previews/springsummer2018/t-shirts/chicken-dinner-tee","//d17ol771963kd3.cloudfront.net/145304/zo/x17s4gR67fc.jpg","Chicken Dinner Tee","All cotton classic Supreme t-shirt."
"1518468388-160","http://www.supremenewyork.com/previews/springsummer2018/all/","sweatshirts","http://www.supremenewyork.com/previews/springsummer2018/all/sweatshirts","","http://www.supremenewyork.com/previews/springsummer2018/sweatshirts/contrast-crewneck","//d17ol771963kd3.cloudfront.net/143766/zo/sXHpvjDZI8c2.jpg","Contrast Crewneck","Cotton blend fleece"
"1518468165-56","http://www.supremenewyork.com/previews/springsummer2018/all/","hats","http://www.supremenewyork.com/previews/springsummer2018/all/hats","","http://www.supremenewyork.com/previews/springsummer2018/hats/military-boonie","//d17ol771963kd3.cloudfront.net/144805/zo/tNpavUkW0OA.jpg","Military Boonie",""
"1518468233-89","http://www.supremenewyork.com/previews/springsummer2018/all/","hats","http://www.supremenewyork.com/previews/springsummer2018/all/hats","","http://www.supremenewyork.com/previews/springsummer2018/hats/repeater-camp-cap","//d17ol771963kd3.cloudfront.net/142876/zo/eRudUIc-xHs1.jpg","Repeater Camp Cap",""
"1518468459-193","http://www.supremenewyork.com/previews/springsummer2018/all/","tops/sweaters","http://www.supremenewyork.com/previews/springsummer2018/all/tops_sweaters","","http://www.supremenewyork.com/previews/springsummer2018/tops-sweaters/striped-knit-polo","//d17ol771963kd3.cloudfront.net/143965/zo/pvrl2d7-gkw1.jpg","Striped Knit Polo","All cotton"
"1518468173-60","http://www.supremenewyork.com/previews/springsummer2018/all/","hats","http://www.supremenewyork.com/previews/springsummer2018/all/hats","","http://www.supremenewyork.com/previews/springsummer2018/hats/classic-logo-6-panel","//d17ol771963kd3.cloudfront.net/145622/zo/E1O6B5_1e0U2.jpg","Classic Logo 6 Panel",""
"1518468446-187","http://www.supremenewyork.com/previews/springsummer2018/all/","tops/sweaters","http://www.supremenewyork.com/previews/springsummer2018/all/tops_sweaters","","http://www.supremenewyork.com/previews/springsummer2018/tops-sweaters/knit-polo","//d17ol771963kd3.cloudfront.net/144212/zo/fSIh4xS-EiE1.jpg","Knit Polo","All cotton"
